fullAddress,siteName,unitDesignator,unitNumber,unitNumberSuffix,civicNumber,civicNumberSuffix,streetName,streetType,isStreetTypePrefix,streetDirection,isStreetDirectionPrefix,streetQualifier,localityName,localityType,electoralArea,provinceCode,locationPositionalAccuracy,locationDescriptor,siteID,blockID,fullSiteDescriptor,accessNotes,siteStatus,siteRetireDate,changeDate,isOfficial,distance,well_tag_number
"4241 Princeton-Summerland Rd, Bankeir, BC",,,,,4241,,Princeton-Summerland,Rd,false,,,,Bankeir,Community,RDOS Electoral Area H,BC,high,parcelPoint,61efb373-fe31-4318-b091-f8dd0151fa92,545667,,,active,9999-12-31,2021-09-05,true,200,124445
"2768 Princeton-Summerland Rd, Princeton, BC",,,,,2768,,Princeton-Summerland,Rd,false,,,,Princeton,Town,RDOS Electoral Area H,BC,high,parcelPoint,60201fb0-4f92-4ee3-80ab-51c13cd44970,545735,,,active,9999-12-31,2021-09-05,true,200,124446
"3912 Princeton-Summerland Rd, Bankeir, BC",,,,,3912,,Princeton-Summerland,Rd,false,,,,Bankeir,Community,RDOS Electoral Area H,BC,high,parcelPoint,9917ed6f-dbe0-46f5-8d67-9790071287f8,58417,,,active,9999-12-31,2021-09-05,true,200,124447
"175 Truro St, Tulameen, BC",,,,,175,,Truro,St,false,,,,Tulameen,Community,RDOS Electoral Area H,BC,high,parcelPoint,9189e8fd-dbeb-4ed0-bb30-11a28cdb9d73,57756,,,active,9999-12-31,2021-09-05,true,200,124448
"2653 Otter Ave, Tulameen, BC",,,,,2653,,Otter,Ave,false,,,,Tulameen,Community,RDOS Electoral Area H,BC,high,parcelPoint,fe12abcc-f4e0-41f1-9020-35d422620904,466095,,,active,9999-12-31,2021-09-05,true,200,124449
